BenefitID,BenefitCost,UsageFrequency,UsageCost,BenefitType,BenefitSubType,BenefitCost_benefits
1,1470280.38,5721,256.99709491347664,Retirement Plan,401k Basic Matching,876.21
2,1143105.8100000003,5267,217.03167078033042,Health Insurance,PPO Individual,706.93
3,551525.0,5503,100.2226058513538,Commuter Benefits,Transit Subsidy,325.0
4,459088.64,6105,75.19879443079444,Retirement Plan,401k High Contribution,261.44
5,127200.0,5644,22.537207654145995,Technology Stipend,Monthly Internet Allowance,75.0
6,1008969.8400000004,5721,176.3624960671212,Retirement Plan,401k Standard Matching,598.44
7,762750.0,5682,134.23970432946146,Flexible Spending Account,Healthcare FSA,450.0
8,206250.0,5412,38.109756097560975,Wellness Programs,Premium Discount Tier 1,125.0
9,1422050.0,5684,250.1847290640394,Professional Development,Conference Attendance,850.0
10,1479415.6799999995,5244,282.11588100686487,Childcare,On-Site Infant Care,915.48
11,1520363.75,5385,282.33310120705664,Health Insurance,PPO Family,928.75
12,1336563.13,5417,246.7349326195311,Tuition Reimbursement,Graduate Degree,824.53
13,106795.0,5304,20.13480392156863,Cell Phone Allowance,Monthly Communications,65.0
14,120237.04000000001,5237,22.95914454840558,Gym Membership,Tier 1 Partners,73.36
15,581201.78,5354,108.55468434815091,Tuition Reimbursement,Professional Certification,359.21
16,145087.8,5709,25.41387283236994,Health Insurance,HDHP Individual,84.55
17,820536.4999999999,5474,149.8970588235294,Retirement Plan,401k Catch-Up Contributions,509.65
18,1193274.06,5442,219.2712348401323,Retirement Plan,401k Investment Fees,743.01
19,568185.6900000001,5357,106.06415717752475,Gym Membership,Tier 2 Partners,343.73
20,860859.72,6032,142.71547082228116,Tuition Reimbursement,Undergraduate Degree,489.96
21,279483.6,5658,49.39618239660657,Life Insurance,Basic Coverage,163.92
22,1057056.0,5959,177.3881523745595,Health Insurance,HMO Family,624.0
23,1553755.84,5440,285.6168823529412,Life Insurance,Supplemental High Amount,969.28
24,1320298.98,5602,235.68350232059979,Gym Membership,Tier 3 Partners,780.78
25,1311147.7199999997,5960,219.99122818791943,Life Insurance,Supplemental Standard,774.91
26,890697.2399999999,5926,150.30328045899424,Gym Membership,Family Membership,519.66
27,1456250.9500000002,5263,276.69598137944143,Retirement Plan,401k Maximum Matching,913.01
28,274630.86000000004,5491,50.014725915133866,Life Insurance,Dependent Coverage,165.54
29,796100.0,5612,141.8567355666429,Childcare,After-School Care,475.0
30,1235407.1099999996,5813,212.5248769998279,Tuition Reimbursement,Individual Courses,723.73
